countryId,exportToCountryId,percentExportOfTotalTrade
229,99,19.9425
230,44,16.4534
230,108,7.8060
231,191,38.2496
231,76,21.7983
231,222,9.0994
233,44,39.7707
233,157,30.4189
233,221,8.2712
234,205,42.0801
234,44,14.4475
235,197,51.4752
235,221,18.1383
