countryID estPopSize popDensity rateIncrease lifeExpectancy mortalityRate fertilityRate
158 23.7739 671.3888 0.317 79.258 4.234 1.1058
159 216.5653 280.9326 2.114 66.024 68.101 3.7821
160 0.018000000000000002 39.1478 0.7859999999999999 73.0 13.3 2.2
161 4.2464 57.1219 1.713 77.291 16.0 2.6002
162 8.7761 19.3793 2.07 62.728 48.312 3.8376
163 7.0446 17.7313 1.3630000000000002 73.16199999999999 20.779 2.5988
164 32.5105 25.3988 0.97 75.11 14.087 2.4
165 108.1166 362.6006 1.663 70.23100000000001 23.715999999999998 3.05
166 37.8878 123.7232 -0.155 77.146 4.398 1.3338
167 10.2262 111.6518 -0.434 80.622 2.948 1.2831
168 2.9334 330.7112 -1.14 79.135 6.374 1.5
169 2.8321 243.9334 6.473 79.482 7.319 2.0
170 51.2253 526.8467 0.509 81.267 2.972 1.2331
171 4.0433 123.0826 -0.075 70.967 14.174000000000001 1.275
172 0.8889 355.5708 0.7759999999999999 79.541 4.196000000000001 2.4
173 19.3646 84.1315 -0.541 74.943 8.352 1.5108
174 145.8723 8.9072 0.209 70.271 8.337 1.6977
175 12.627 511.8342 2.488 65.79 39.411 4.25
176 0.0098 447.5909 0.975 NULL NULL NULL
177 0.0061 15.5359 -0.6679999999999999 NULL NULL NULL
178 0.0528 203.1654 1.077 NULL NULL NULL
179 0.1828 299.6557 0.5710000000000001 75.197 16.002 1.5073
180 0.038 717.0189 -0.9390000000000001 NULL NULL NULL
181 0.0058 25.313000000000002 0.045 NULL NULL NULL
182 0.1106 283.5615 0.162 71.88600000000001 17.362000000000002 2.0084
183 0.1971 69.6456 0.7979999999999999 72.25399999999999 15.094000000000001 4.1643
184 0.0339 564.3333 1.155 NULL NULL NULL
185 0.2151 224.0167 2.009 68.488 32.076 4.6
186 34.2685 15.9411 2.911 74.382 8.687000000000001 2.725
187 16.2964 84.6432 2.793 65.743 38.269 5.0
188 8.7722 100.3 -0.256 74.752 6.072 1.4612
189 0.0977 212.4761 0.7979999999999999 73.067 12.367 2.38
190 7.8132 108.2463 2.229 51.416000000000004 97.125 4.8418
191 5.8043 8291.91 1.7209999999999999 82.29700000000001 2.065 1.2329999999999999
192 0.0424 1246.7059 3.134 NULL NULL NULL
193 5.457000000000001 113.4797 0.11599999999999999 76.229 5.421 1.38
194 2.0787 103.2102 0.271 80.142 2.23 1.575
