countryID,totalPublicExp,primaryEdPercent,secondaryEdPercent,tertiaryEdPercent
204,15.5033,23.3438,27.109,24.9134
205,15.5267,28.9482,35.571,26.0032
206,19.1841,38.8728,36.9045,24.2228
207,16.4434,NULL,NULL,9.9455
208,19.1259,41.106,29.815,15.5533
209,6.7729,64.8913,29.8189,4.1113
210,15.9913,64.0632,16.0179,17.9328
211,NULL,NULL,NULL,NULL
212,18.1025,44.4381,30.1384,21.717
213,13.9101,39.1824,36.8308,NULL
214,22.8985,27.6597,71.5867,23.9382
215,12.839,22.8837,37.8214,34.5766
216,20.7955,NULL,NULL,9.2281
217,NULL,36.1024,41.4733,22.4244
218,NULL,NULL,NULL,NULL
219,12.0089,59.155,24.55,16.295
220,12.3531,19.6395,27.8896,30.4587
221,NULL,NULL,NULL,NULL
222,13.917,33.3639,37.4718,24.180999999999997
223,17.2971,49.1503,18.2684,21.3993
224,13.5948,30.9646,34.5549,27.5023
225,NULL,NULL,NULL,NULL
226,14.9261,27.8764,33.1749,26.8333
227,19.9572,NULL,NULL,NULL
228,11.7827,44.6363,32.8975,5.8566
229,NULL,31.5452,19.0353,22.5991
230,18.5155,29.6893,39.5698,15.009
231,NULL,NULL,NULL,NULL
232,NULL,NULL,NULL,NULL
233,12.4892,NULL,NULL,NULL
234,5.6518,59.7587,14.4887,25.7527
235,30.0076,47.7685,26.8664,16.8321
